curso,semestre,disciplina,tipo
11,4,Programação Orientada a Objetos,Obrigatória
11,4,Programação WEB,Obrigatória
11,5,Biologia V,Obrigatória
11,5,Educação Física III,Obrigatória
11,5,Espanhol IV,Obrigatória
11,5,Física V,Obrigatória
11,5,Geografia V,Obrigatória
11,5,Inglês III,Obrigatória
11,5,Matemática V,Obrigatória
11,5,Português V,Obrigatória
11,5,Química V,Obrigatória
11,5,Gestão e Empreendedorismo,Obrigatória
11,5,Programação para Dispositivos Móveis,Obrigatória
11,6,Biologia VI,Obrigatória
11,6,Física VI,Obrigatória
11,6,Geografia VI,Obrigatória
11,6,História VI,Obrigatória
11,6,Matemática VI,Obrigatória
11,6,Português VI,Obrigatória
11,6,Química VI,Obrigatória
11,6,Administração de Redes com Software Livre,Obrigatória
11,6,Estágio,Obrigatória
11,6,Laboratório de Desenvolvimento de Software,Obrigatória
12,1,Artes I,Obrigatória
12,1,Biologia I,Obrigatória
12,1,Educação Física I,Obrigatória
12,1,Filosofia I,Obrigatória
12,1,Física I,Obrigatória
12,1,Geografia I,Obrigatória
12,1,História I,Obrigatória
12,1,Inglês I,Obrigatória
12,1,Português I,Obrigatória
12,1,Química I,Obrigatória
12,1,Introdução ao Curso e Orientação Profissional,Obrigatória
12,1,Matemática I,Obrigatória
12,1,Desenho Técnico,Obrigatória
12,1,Higiene e Segurança do Trabalho,Obrigatória
12,1,Informática Básica,Obrigatória
12,2,Física II,Obrigatória
12,2,Geografia II,Obrigatória
12,2,História II,Obrigatória
12,2,Matemática II,Obrigatória
12,2,Português II,Obrigatória
12,2,Química II,Obrigatória
12,2,Sociologia I,Obrigatória
12,2,Desenho Assistido por Computador,Obrigatória
12,2,Gestão e Empreendedorismo,Obrigatória
12,2,Metrologia,Obrigatória
12,2,Artes II,Obrigatória
12,2,Biologia II,Obrigatória
12,2,Espanhol I,Obrigatória
12,3,Biologia III,Obrigatória
12,3,Educação Física II,Obrigatória
12,3,Espanhol II,Obrigatória
12,3,Filosofia II,Obrigatória
12,3,Geografia III,Obrigatória
12,3,Inglês II,Obrigatória
12,3,História III,Obrigatória
12,3,Matemática III,Obrigatória
12,3,Português III,Obrigatória
12,3,Química III,Obrigatória
12,3,Controle de Qualidade,Obrigatória
12,3,Manutenção de Máquinas e Equipamentos,Obrigatória
12,3,Física III,Obrigatória
12,3,Materiais para Construção Mecânica,Obrigatória
12,3,Planejamento e Controle da Produção,Obrigatória
12,4,Biologia IV,Obrigatória
12,4,Espanhol III,Obrigatória
12,4,Física IV,Obrigatória
12,4,Geografia IV,Obrigatória
12,4,História IV,Obrigatória
12,4,Matemática IV,Obrigatória
12,4,Português IV,Obrigatória
12,4,Química IV,Obrigatória
12,4,Sociologia II,Obrigatória
12,4,Máquinas Hidráulicas e Pneumáticas,Obrigatória
12,4,Resistência dos Materiais,Obrigatória
12,4,Tecnologia Mecânica,Obrigatória
12,5,Educação Física III,Obrigatória
12,5,Biologia V,Obrigatória
12,5,Educação Física III,Obrigatória
12,5,Espanhol IV,Obrigatória
12,5,Física V,Obrigatória
12,5,Geografia V,Obrigatória
12,5,Inglês III,Obrigatória
12,5,Matemática V,Obrigatória
12,5,Português V,Obrigatória
12,5,Química V,Obrigatória
12,5,Elementos de Máquinas,Obrigatória
12,5,Máquinas Térmicas,Obrigatória
12,5,Tecnologia da Soldagem,Obrigatória
12,5,Usinagem,Obrigatória
12,6,Biologia VI,Obrigatória
12,6,Física VI,Obrigatória
12,6,Geografia VI,Obrigatória
12,6,História VI,Obrigatória
12,6,Matemática VI,Obrigatória
12,6,Português VI,Obrigatória
12,6,Química VI,Obrigatória
12,6,Acionamentos Hidráulicos e Pneumáticos,Obrigatória
12,6,CAM/CNC/CIM,Obrigatória
12,6,Comandos Elétricos,Obrigatória
12,6,Ensaios Mecânicos,Obrigatória
12,6,Mecanismos,Obrigatória
12,6,Robótica Industrial,Obrigatória
13,1,Desenho Técnico,Obrigatória
13,1,Eletricidade Aplicada,Obrigatória
13,1,Informática Básica,Obrigatória
13,1,Inglês Instrumental,Obrigatória
13,1,Materiais para Construção Mecânica,Obrigatória
13,1,Mecânica Geral,Obrigatória
13,1,Metrologia,Obrigatória
13,2,Bombas Hidráulicas e Compressores,Obrigatória
13,2,Desenho Assistido por Computador,Obrigatória
13,2,Gestão e Empreendedorismo,Obrigatória
